link_permanente,tipo_de_publicação,impressões,alcance,compartilhamentos,seguimentos,curtidas,comentários,salvamentos,data,horario
https://www.instagram.com/p/Cb53HIzuYYn/,Carrossel do Instagram,8196,6656,23,4,109,6,14,2022-04-03,14:04:00
https://www.instagram.com/p/Cb8bYtQOANF/,Imagem do Instagram,5808,5294,2,2,63,2,6,2022-04-04,14:04:00
https://www.instagram.com/p/Cb-Wu0UpCjl/,Carrossel do Instagram,27405,22543,349,74,2195,19,263,2022-04-05,08:04:00
https://www.instagram.com/p/Cb-0jAnMhTw/,Carrossel do Instagram,30566,24979,154,18,1567,17,179,2022-04-05,12:04:00
https://www.instagram.com/p/Cb_EFsJrEm8/,Carrossel do Instagram,8406,7040,10,2,138,1,13,2022-04-05,15:04:00
https://www.instagram.com/p/CcAjFD_KExM/,Carrossel do Instagram,33561,26507,1667,28,1194,10,208,2022-04-06,04:04:00
https://www.instagram.com/p/CcGoESGBEMC/,Imagem do Instagram,31956,29804,426,20,2721,20,239,2022-04-08,13:04:00
https://www.instagram.com/p/CcNp4EHtDvD/,Carrossel do Instagram,20273,16602,273,16,1106,12,91,2022-04-11,07:04:00
https://www.instagram.com/p/CcSmBFBhJHd/,Carrossel do Instagram,42364,33968,3334,133,2923,22,286,2022-04-13,05:04:00
https://www.instagram.com/p/CcTg1YUsU2D/,Carrossel do Instagram,11371,9059,24,8,510,6,52,2022-04-13,13:04:00
https://www.instagram.com/p/CcVMwXyhqrN/,Carrossel do Instagram,25349,21404,112,8,1808,7,96,2022-04-14,05:04:00
https://www.instagram.com/p/CcXvWEupND3/,Imagem do Instagram,30366,28373,675,8,2132,8,63,2022-04-15,05:04:00
https://www.instagram.com/p/CciM1Olr-gJ/,Carrossel do Instagram,21537,18854,39,8,1226,10,63,2022-04-19,06:04:00
https://www.instagram.com/p/Cci-bLvs9-o/,Carrossel do Instagram,12995,11115,71,8,626,1,29,2022-04-19,13:04:00
https://www.instagram.com/p/Cck5X0wPBRL/,Imagem do Instagram,9744,9163,31,18,301,5,53,2022-04-20,07:04:00
https://www.instagram.com/p/CcnouM9BUOF/,Imagem do Instagram,22993,21371,115,4,1018,72,53,2022-04-21,09:04:00
https://www.instagram.com/p/CcqGbxgt-1G/,Carrossel do Instagram,10983,9080,15,4,389,1,36,2022-04-22,08:04:00
https://www.instagram.com/p/CctTcgUIs_U/,Imagem do Instagram,10293,9236,29,0,414,0,17,2022-04-23,14:04:00
https://www.instagram.com/p/CcvJ2zKBQA7/,Carrossel do Instagram,38636,29806,1277,24,3176,9,236,2022-04-24,07:04:00
https://www.instagram.com/p/CcxtvQdtzvr/,Carrossel do Instagram,9654,8215,40,4,267,0,70,2022-04-25,07:04:00
https://www.instagram.com/p/Cc0mIT5ssTH/,Imagem do Instagram,17156,16094,72,6,1108,14,79,2022-04-26,09:04:00
https://www.instagram.com/p/Cc27YO-sMU9/,Carrossel do Instagram,10519,8777,38,2,426,1,208,2022-04-27,07:04:00
https://www.instagram.com/p/Cc6JwgArmQM/,Carrossel do Instagram,12358,10068,11,0,196,3,25,2022-04-28,13:04:00
https://www.instagram.com/p/Cc8ue0llcLB/,Carrossel do Instagram,54534,42201,736,116,3367,19,758,2022-04-29,13:04:00
https://www.instagram.com/p/Cc_TCVXsGYs/,Carrossel do Instagram,17771,14487,32,6,407,1,100,2022-04-30,13:04:00
https://www.instagram.com/p/CdBOkWIr3tL/,Imagem do Instagram,14925,13625,171,10,752,0,83,2022-05-01,07:05:00
https://www.instagram.com/p/CdD0AsjuQG-/,Carrossel do Instagram,16365,13560,42,25,509,7,53,2022-05-02,07:05:00
https://www.instagram.com/p/CdO4Q8PuD10/,Carrossel do Instagram,35443,28936,837,62,2683,26,274,2022-05-06,14:05:00
https://www.instagram.com/p/CdTlHExu16F/,Carrossel do Instagram,17127,14578,220,18,1114,13,50,2022-05-08,10:05:00
https://www.instagram.com/p/CdZCwndKjSx/,Carrossel do Instagram,9958,8320,21,2,369,2,42,2022-05-10,13:05:00
https://www.instagram.com/p/Cdb0cLmo6GW/,Carrossel do Instagram,51977,39835,1820,126,3859,48,280,2022-05-11,15:05:00
https://www.instagram.com/p/CdeSC23u516/,Vídeo do Instagram,6801,6003,17,2,71,3,17,2022-05-12,14:05:00
https://www.instagram.com/p/Cdgv9xGvaNF/,Carrossel do Instagram,16670,13441,66,46,524,10,447,2022-05-13,13:05:00
https://www.instagram.com/p/Cdgv-T0sTM1/,Imagem do Instagram,17098,15992,195,20,829,5,77,2022-05-13,13:05:00
